timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh,price_type
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,FR,73.3,imbalance_long
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,FR,81.02,imbalance_short
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,NL,183.69,imbalance_long
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,NL,183.69,imbalance_short
2021-11-08T03:45:00+00:00,2021-11-08T04:45:00+01:00,DE-LU,45.12,imbalance_long
2021-11-08T03:45:00+00:00,2021-11-08T04:45:00+01:00,DE-LU,45.12,imbalance_short
2021-11-08T03:45:00+00:00,2021-11-08T04:45:00+01:00,NL,180.78,imbalance_long
2021-11-08T03:45:00+00:00,2021-11-08T04:45:00+01:00,NL,180.78,imbalance_short
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,DE-LU,183.35,imbalance_long
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,DE-LU,183.35,imbalance_short
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,FR,140.14,imbalance_long
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,FR,154.9,imbalance_short
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,NL,115.87,imbalance_long
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,NL,115.87,imbalance_short
2021-11-08T04:15:00+00:00,2021-11-08T05:15:00+01:00,DE-LU,-15.23,imbalance_long
2021-11-08T04:15:00+00:00,2021-11-08T05:15:00+01:00,DE-LU,-15.23,imbalance_short
2021-11-08T04:15:00+00:00,2021-11-08T05:15:00+01:00,NL,425.0,imbalance_long
2021-11-08T04:15:00+00:00,2021-11-08T05:15:00+01:00,NL,425.0,imbalance_short
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,DE-LU,-40.01,imbalance_long
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,DE-LU,-40.01,imbalance_short
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,FR,151.5,imbalance_long
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,FR,167.44,imbalance_short
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,NL,177.72,imbalance_long
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,NL,177.72,imbalance_short
2021-11-08T04:45:00+00:00,2021-11-08T05:45:00+01:00,DE-LU,-15.62,imbalance_long
2021-11-08T04:45:00+00:00,2021-11-08T05:45:00+01:00,DE-LU,-15.62,imbalance_short
2021-11-08T04:45:00+00:00,2021-11-08T05:45:00+01:00,NL,425.0,imbalance_long
2021-11-08T04:45:00+00:00,2021-11-08T05:45:00+01:00,NL,425.0,imbalance_short
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,DE-LU,-9.36,imbalance_long
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,DE-LU,-9.36,imbalance_short
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,FR,184.65,imbalance_long
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,FR,204.09,imbalance_short
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,NL,167.16,imbalance_long
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,NL,167.16,imbalance_short
2021-11-08T05:15:00+00:00,2021-11-08T06:15:00+01:00,DE-LU,262.32,imbalance_long
2021-11-08T05:15:00+00:00,2021-11-08T06:15:00+01:00,DE-LU,262.32,imbalance_short
2021-11-08T05:15:00+00:00,2021-11-08T06:15:00+01:00,NL,496.0,imbalance_long
2021-11-08T05:15:00+00:00,2021-11-08T06:15:00+01:00,NL,496.0,imbalance_short
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,DE-LU,318.35,imbalance_long
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,DE-LU,318.35,imbalance_short
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,FR,200.22,imbalance_long
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,FR,221.3,imbalance_short
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,NL,528.99,imbalance_long
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,NL,528.99,imbalance_short
2021-11-08T05:45:00+00:00,2021-11-08T06:45:00+01:00,DE-LU,301.28,imbalance_long
2021-11-08T05:45:00+00:00,2021-11-08T06:45:00+01:00,DE-LU,301.28,imbalance_short
2021-11-08T05:45:00+00:00,2021-11-08T06:45:00+01:00,NL,496.0,imbalance_long
2021-11-08T05:45:00+00:00,2021-11-08T06:45:00+01:00,NL,496.0,imbalance_short
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,DE-LU,246.49,imbalance_long
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,DE-LU,246.49,imbalance_short
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,FR,209.86,imbalance_long
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,FR,231.96,imbalance_short
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,NL,138.33,imbalance_long
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,NL,138.33,imbalance_short
2021-11-08T06:15:00+00:00,2021-11-08T07:15:00+01:00,DE-LU,296.03,imbalance_long
2021-11-08T06:15:00+00:00,2021-11-08T07:15:00+01:00,DE-LU,296.03,imbalance_short
2021-11-08T06:15:00+00:00,2021-11-08T07:15:00+01:00,NL,198.83,imbalance_long
2021-11-08T06:15:00+00:00,2021-11-08T07:15:00+01:00,NL,198.83,imbalance_short
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,DE-LU,296.65,imbalance_long
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,DE-LU,296.65,imbalance_short
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,FR,206.44,imbalance_long
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,FR,228.18,imbalance_short
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,NL,382.46,imbalance_long
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,NL,382.46,imbalance_short
2021-11-08T06:45:00+00:00,2021-11-08T07:45:00+01:00,DE-LU,286.29,imbalance_long
2021-11-08T06:45:00+00:00,2021-11-08T07:45:00+01:00,DE-LU,286.29,imbalance_short
2021-11-08T06:45:00+00:00,2021-11-08T07:45:00+01:00,NL,574.0,imbalance_long
2021-11-08T06:45:00+00:00,2021-11-08T07:45:00+01:00,NL,574.0,imbalance_short
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,DE-LU,204.83,imbalance_long
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,DE-LU,204.83,imbalance_short
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,FR,236.24,imbalance_long
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,FR,261.1,imbalance_short
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,NL,130.98,imbalance_long
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,NL,130.98,imbalance_short
2021-11-08T07:15:00+00:00,2021-11-08T08:15:00+01:00,DE-LU,-84.79,imbalance_long
2021-11-08T07:15:00+00:00,2021-11-08T08:15:00+01:00,DE-LU,-84.79,imbalance_short
2021-11-08T07:15:00+00:00,2021-11-08T08:15:00+01:00,NL,162.93,imbalance_long
2021-11-08T07:15:00+00:00,2021-11-08T08:15:00+01:00,NL,162.93,imbalance_short
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,DE-LU,59.02,imbalance_long
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,DE-LU,59.02,imbalance_short
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,FR,233.47,imbalance_long
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,FR,258.05,imbalance_short
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,NL,145.24,imbalance_long
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,NL,145.24,imbalance_short
2021-11-08T07:45:00+00:00,2021-11-08T08:45:00+01:00,DE-LU,6.2,imbalance_long
2021-11-08T07:45:00+00:00,2021-11-08T08:45:00+01:00,DE-LU,6.2,imbalance_short
2021-11-08T07:45:00+00:00,2021-11-08T08:45:00+01:00,NL,162.93,imbalance_long
2021-11-08T07:45:00+00:00,2021-11-08T08:45:00+01:00,NL,162.93,imbalance_short
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,DE-LU,56.29,imbalance_long
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,DE-LU,56.29,imbalance_short
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,FR,230.59,imbalance_long
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,FR,254.87,imbalance_short
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,NL,203.68,imbalance_long
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,NL,203.68,imbalance_short
2021-11-08T08:15:00+00:00,2021-11-08T09:15:00+01:00,DE-LU,59.02,imbalance_long
