timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh,load_actual_mw
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,DE-LU,60.92,49038.42
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,FR,139.36,49134
2021-11-08T03:30:00+00:00,2021-11-08T04:30:00+01:00,NL,154.1,10476.01
2021-11-08T03:45:00+00:00,2021-11-08T04:45:00+01:00,AT,100.91,
2021-11-08T03:45:00+00:00,2021-11-08T04:45:00+01:00,BE,172.69,
2021-11-08T03:45:00+00:00,2021-11-08T04:45:00+01:00,CH,170.57,
2021-11-08T03:45:00+00:00,2021-11-08T04:45:00+01:00,DE-LU,60.92,49745.12
2021-11-08T03:45:00+00:00,2021-11-08T04:45:00+01:00,FR,139.36,49134
2021-11-08T03:45:00+00:00,2021-11-08T04:45:00+01:00,NL,154.1,10499.51
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,AT,163.52,
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,BE,164.77,
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,CH,176.06,
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,DE-LU,74.97,50710.38
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,FR,152.55,52323
2021-11-08T04:00:00+00:00,2021-11-08T05:00:00+01:00,NL,134,10654.78
2021-11-08T04:15:00+00:00,2021-11-08T05:15:00+01:00,AT,163.52,
2021-11-08T04:15:00+00:00,2021-11-08T05:15:00+01:00,BE,164.77,
2021-11-08T04:15:00+00:00,2021-11-08T05:15:00+01:00,CH,176.06,
2021-11-08T04:15:00+00:00,2021-11-08T05:15:00+01:00,DE-LU,74.97,51561.35
2021-11-08T04:15:00+00:00,2021-11-08T05:15:00+01:00,FR,152.55,52323
2021-11-08T04:15:00+00:00,2021-11-08T05:15:00+01:00,NL,134,10913.55
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,AT,163.52,
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,BE,164.77,
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,CH,176.06,
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,DE-LU,74.97,53205.04
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,FR,152.55,52323
2021-11-08T04:30:00+00:00,2021-11-08T05:30:00+01:00,NL,134,11014.64
2021-11-08T04:45:00+00:00,2021-11-08T05:45:00+01:00,AT,163.52,
2021-11-08T04:45:00+00:00,2021-11-08T05:45:00+01:00,BE,164.77,
2021-11-08T04:45:00+00:00,2021-11-08T05:45:00+01:00,CH,176.06,
2021-11-08T04:45:00+00:00,2021-11-08T05:45:00+01:00,DE-LU,74.97,55298.06
2021-11-08T04:45:00+00:00,2021-11-08T05:45:00+01:00,FR,152.55,52323
2021-11-08T04:45:00+00:00,2021-11-08T05:45:00+01:00,NL,134,11224.14
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,AT,200.96,
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,BE,201.02,
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,CH,199.38,
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,DE-LU,173.9,58993.82
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,FR,207.17,58515
2021-11-08T05:00:00+00:00,2021-11-08T06:00:00+01:00,NL,178.99,11555.83
2021-11-08T05:15:00+00:00,2021-11-08T06:15:00+01:00,AT,200.96,
2021-11-08T05:15:00+00:00,2021-11-08T06:15:00+01:00,BE,201.02,
2021-11-08T05:15:00+00:00,2021-11-08T06:15:00+01:00,CH,199.38,
2021-11-08T05:15:00+00:00,2021-11-08T06:15:00+01:00,DE-LU,173.9,61491.65
2021-11-08T05:15:00+00:00,2021-11-08T06:15:00+01:00,FR,207.17,58515
2021-11-08T05:15:00+00:00,2021-11-08T06:15:00+01:00,NL,178.99,11943.07
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,AT,200.96,
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,BE,201.02,
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,CH,199.38,
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,DE-LU,173.9,63642.78
