timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh
2021-11-08T17:00:00+00:00,2021-11-08T18:00:00+01:00,BE,299.9
2021-11-08T17:00:00+00:00,2021-11-08T18:00:00+01:00,CH,274.91
2021-11-08T17:00:00+00:00,2021-11-08T18:00:00+01:00,DE-LU,299.9
2021-11-08T17:00:00+00:00,2021-11-08T18:00:00+01:00,FR,299.9
2021-11-08T17:00:00+00:00,2021-11-08T18:00:00+01:00,NL,299.9
2021-11-08T18:00:00+00:00,2021-11-08T19:00:00+01:00,AT,270.0
2021-11-08T18:00:00+00:00,2021-11-08T19:00:00+01:00,BE,270.0
2021-11-08T18:00:00+00:00,2021-11-08T19:00:00+01:00,CH,245.6
2021-11-08T18:00:00+00:00,2021-11-08T19:00:00+01:00,DE-LU,270.0
2021-11-08T18:00:00+00:00,2021-11-08T19:00:00+01:00,FR,270.0
2021-11-08T18:00:00+00:00,2021-11-08T19:00:00+01:00,NL,270.0
2021-11-08T19:00:00+00:00,2021-11-08T20:00:00+01:00,AT,222.2
2021-11-08T19:00:00+00:00,2021-11-08T20:00:00+01:00,BE,222.2
2021-11-08T19:00:00+00:00,2021-11-08T20:00:00+01:00,CH,223.29
2021-11-08T19:00:00+00:00,2021-11-08T20:00:00+01:00,DE-LU,222.2
2021-11-08T19:00:00+00:00,2021-11-08T20:00:00+01:00,FR,222.2
2021-11-08T19:00:00+00:00,2021-11-08T20:00:00+01:00,NL,222.2
2021-11-08T20:00:00+00:00,2021-11-08T21:00:00+01:00,AT,205.0
2021-11-08T20:00:00+00:00,2021-11-08T21:00:00+01:00,BE,205.0
2021-11-08T20:00:00+00:00,2021-11-08T21:00:00+01:00,CH,204.1
2021-11-08T20:00:00+00:00,2021-11-08T21:00:00+01:00,DE-LU,205.0
2021-11-08T20:00:00+00:00,2021-11-08T21:00:00+01:00,FR,205.0
2021-11-08T20:00:00+00:00,2021-11-08T21:00:00+01:00,NL,205.0
2021-11-08T21:00:00+00:00,2021-11-08T22:00:00+01:00,AT,175.56
2021-11-08T21:00:00+00:00,2021-11-08T22:00:00+01:00,BE,154.1
2021-11-08T21:00:00+00:00,2021-11-08T22:00:00+01:00,CH,193.42
2021-11-08T21:00:00+00:00,2021-11-08T22:00:00+01:00,DE-LU,173.0
2021-11-08T21:00:00+00:00,2021-11-08T22:00:00+01:00,FR,188.11
2021-11-08T21:00:00+00:00,2021-11-08T22:00:00+01:00,NL,165.04
2021-11-08T22:00:00+00:00,2021-11-08T23:00:00+01:00,AT,161.31
2021-11-08T22:00:00+00:00,2021-11-08T23:00:00+01:00,BE,132.64
2021-11-08T22:00:00+00:00,2021-11-08T23:00:00+01:00,CH,178.16
2021-11-08T22:00:00+00:00,2021-11-08T23:00:00+01:00,DE-LU,157.89
2021-11-08T22:00:00+00:00,2021-11-08T23:00:00+01:00,FR,178.15
2021-11-08T22:00:00+00:00,2021-11-08T23:00:00+01:00,NL,146.9
2021-11-08T23:00:00+00:00,2021-11-09T00:00:00+01:00,AT,153.01
2021-11-08T23:00:00+00:00,2021-11-09T00:00:00+01:00,BE,153.01
2021-11-08T23:00:00+00:00,2021-11-09T00:00:00+01:00,CH,187.24
2021-11-08T23:00:00+00:00,2021-11-09T00:00:00+01:00,DE-LU,153.01
2021-11-08T23:00:00+00:00,2021-11-09T00:00:00+01:00,FR,153.01
2021-11-08T23:00:00+00:00,2021-11-09T00:00:00+01:00,NL,153.01
2021-11-09T00:00:00+00:00,2021-11-09T01:00:00+01:00,AT,153.21
2021-11-09T00:00:00+00:00,2021-11-09T01:00:00+01:00,BE,154.0
2021-11-09T00:00:00+00:00,2021-11-09T01:00:00+01:00,CH,178.82
2021-11-09T00:00:00+00:00,2021-11-09T01:00:00+01:00,DE-LU,152.85
2021-11-09T00:00:00+00:00,2021-11-09T01:00:00+01:00,FR,154.53
2021-11-09T00:00:00+00:00,2021-11-09T01:00:00+01:00,NL,151.23
2021-11-09T01:00:00+00:00,2021-11-09T02:00:00+01:00,AT,151.01
2021-11-09T01:00:00+00:00,2021-11-09T02:00:00+01:00,BE,151.01
2021-11-09T01:00:00+00:00,2021-11-09T02:00:00+01:00,CH,175.97
2021-11-09T01:00:00+00:00,2021-11-09T02:00:00+01:00,DE-LU,151.01
2021-11-09T01:00:00+00:00,2021-11-09T02:00:00+01:00,FR,151.01
2021-11-09T01:00:00+00:00,2021-11-09T02:00:00+01:00,NL,151.01
2021-11-09T02:00:00+00:00,2021-11-09T03:00:00+01:00,AT,145.36
2021-11-09T02:00:00+00:00,2021-11-09T03:00:00+01:00,BE,145.36
2021-11-09T02:00:00+00:00,2021-11-09T03:00:00+01:00,CH,173.59
2021-11-09T02:00:00+00:00,2021-11-09T03:00:00+01:00,DE-LU,145.36
2021-11-09T02:00:00+00:00,2021-11-09T03:00:00+01:00,FR,145.36
2021-11-09T02:00:00+00:00,2021-11-09T03:00:00+01:00,NL,145.36
2021-11-09T03:00:00+00:00,2021-11-09T04:00:00+01:00,AT,145.5
2021-11-09T03:00:00+00:00,2021-11-09T04:00:00+01:00,BE,145.5
2021-11-09T03:00:00+00:00,2021-11-09T04:00:00+01:00,CH,173.59
2021-11-09T03:00:00+00:00,2021-11-09T04:00:00+01:00,DE-LU,145.5
2021-11-09T03:00:00+00:00,2021-11-09T04:00:00+01:00,FR,145.5
2021-11-09T03:00:00+00:00,2021-11-09T04:00:00+01:00,NL,145.5
2021-11-09T04:00:00+00:00,2021-11-09T05:00:00+01:00,AT,153.69
2021-11-09T04:00:00+00:00,2021-11-09T05:00:00+01:00,BE,155.54
2021-11-09T04:00:00+00:00,2021-11-09T05:00:00+01:00,CH,188.03
2021-11-09T04:00:00+00:00,2021-11-09T05:00:00+01:00,DE-LU,152.87
2021-11-09T04:00:00+00:00,2021-11-09T05:00:00+01:00,FR,156.79
2021-11-09T04:00:00+00:00,2021-11-09T05:00:00+01:00,NL,148.05
2021-11-09T05:00:00+00:00,2021-11-09T06:00:00+01:00,AT,190.0
2021-11-09T05:00:00+00:00,2021-11-09T06:00:00+01:00,BE,190.0
2021-11-09T05:00:00+00:00,2021-11-09T06:00:00+01:00,CH,210.78
2021-11-09T05:00:00+00:00,2021-11-09T06:00:00+01:00,DE-LU,190.0
