filing_id,lei,company_name,country,period_end,date_added,json_url,package_url,error_count
969500F0VMZLK2IULV85-2021-12-31-ESEF-FR-0,969500F0VMZLK2IULV85,FORVIA,FR,2021-12-31,2022-04-07 00:00:00,https://filings.xbrl.org/969500F0VMZLK2IULV85/2021-12-31/ESEF/FR/0/969500F0VMZLK2IULV85-2021-12-31-fr.json,https://filings.xbrl.org/969500F0VMZLK2IULV85/2021-12-31/ESEF/FR/0/969500F0VMZLK2IULV85-2021-12-31-fr.zip,0
969500F0VMZLK2IULV85-2022-12-31-ESEF-FR-0,969500F0VMZLK2IULV85,FORVIA,FR,2022-12-31,2023-03-02 10:04:40.153123,https://filings.xbrl.org/969500F0VMZLK2IULV85/2022-12-31/ESEF/FR/0/969500F0VMZLK2IULV85-2022-12-31-fr.json,https://filings.xbrl.org/969500F0VMZLK2IULV85/2022-12-31/ESEF/FR/0/969500F0VMZLK2IULV85-2022-12-31-fr.zip,0
969500F7JLTX36OUI695-2021-12-31-ESEF-FR-0,969500F7JLTX36OUI695,RENAULT,FR,2021-12-31,2022-03-24 00:00:00,https://filings.xbrl.org/969500F7JLTX36OUI695/2021-12-31/ESEF/FR/0/969500F7JLTX36OUI695-2021-12-31.json,https://filings.xbrl.org/969500F7JLTX36OUI695/2021-12-31/ESEF/FR/0/969500F7JLTX36OUI695-2021-12-31.zip,0
969500F7JLTX36OUI695-2022-12-31-ESEF-FR-0,969500F7JLTX36OUI695,RENAULT,FR,2022-12-31,2023-03-21 10:33:17.927157,https://filings.xbrl.org/969500F7JLTX36OUI695/2022-12-31/ESEF/FR/0/969500F7JLTX36OUI695-2022-12-31-fr.json,https://filings.xbrl.org/969500F7JLTX36OUI695/2022-12-31/ESEF/FR/0/969500F7JLTX36OUI695-2022-12-31-fr.zip,0
969500F9H7I22AX1D138-2021-12-31-ESEF-FR-0,969500F9H7I22AX1D138,LATECOERE,FR,2021-12-31,2023-01-19 17:03:28.137811,https://filings.xbrl.org/969500F9H7I22AX1D138/2021-12-31/ESEF/FR/0/LATECOERE-2021-12-31-fr.json,https://filings.xbrl.org/969500F9H7I22AX1D138/2021-12-31/ESEF/FR/0/LATECOERE-2021-12-31-fr.zip,0
969500F9H7I22AX1D138-2022-12-31-ESEF-FR-0,969500F9H7I22AX1D138,LATECOERE,FR,2022-12-31,2023-06-28 09:29:43.740295,https://filings.xbrl.org/969500F9H7I22AX1D138/2022-12-31/ESEF/FR/0/969500F9H7I22AX1D138-2022-12-31AR.json,https://filings.xbrl.org/969500F9H7I22AX1D138/2022-12-31/ESEF/FR/0/969500F9H7I22AX1D138-2022-12-31AR.zip,0
969500FCVQ5SLAAUJV59-2020-12-31-ESEF-FR-0,969500FCVQ5SLAAUJV59,VIRIDIEN,FR,2020-12-31,2021-05-18 00:00:00,https://filings.xbrl.org/969500FCVQ5SLAAUJV59/2020-12-31/ESEF/FR/0/969500FCVQ5SLAAUJV59-2020-12-31AR.json,https://filings.xbrl.org/969500FCVQ5SLAAUJV59/2020-12-31/ESEF/FR/0/969500FCVQ5SLAAUJV59-2020-12-31AR.zip,1
969500FCVQ5SLAAUJV59-2021-12-31-ESEF-FR-0,969500FCVQ5SLAAUJV59,VIRIDIEN,FR,2021-12-31,2022-03-23 00:00:00,https://filings.xbrl.org/969500FCVQ5SLAAUJV59/2021-12-31/ESEF/FR/0/969500FCVQ5SLAAUJV59-2021-12-31-fr.json,https://filings.xbrl.org/969500FCVQ5SLAAUJV59/2021-12-31/ESEF/FR/0/969500FCVQ5SLAAUJV59-2021-12-31-fr.zip,0
969500FCVQ5SLAAUJV59-2022-12-31-ESEF-FR-0,969500FCVQ5SLAAUJV59,VIRIDIEN,FR,2022-12-31,2023-03-21 10:33:14.242986,https://filings.xbrl.org/969500FCVQ5SLAAUJV59/2022-12-31/ESEF/FR/0/969500FCVQ5SLAAUJV59-2022-12-31-fr.json,https://filings.xbrl.org/969500FCVQ5SLAAUJV59/2022-12-31/ESEF/FR/0/969500FCVQ5SLAAUJV59-2022-12-31-fr.zip,0
969500FU4DRAEVJW7U54-2021-12-31-ESEF-FR-0,969500FU4DRAEVJW7U54,VIVENDI SE,FR,2021-12-31,2022-03-23 00:00:00,https://filings.xbrl.org/969500FU4DRAEVJW7U54/2021-12-31/ESEF/FR/0/vivendi-2021-12-31.json,https://filings.xbrl.org/969500FU4DRAEVJW7U54/2021-12-31/ESEF/FR/0/vivendi-2021-12-31.zip,0
